tile,cluster,zone,area_m2,n_pts,n_ground,n_class1,n_reclaim,ground_per_m2,class1_per_m2,reclaim_per_m2,med_inten_ground,med_inten_reclaim,med_absang_ground,med_absang_reclaim,planar_ground,planar_ground_n,planar_reclaim,planar_reclaim_n
621594,20,floor,25.25,89,67,22,0,2.6534653465346536,0.8712871287128713,0.0,20048.0,,2.442,,0.10110908719639156,67,,0
621594,20,ring,304.5,1029,770,259,10,2.528735632183908,0.8505747126436781,0.03284072249589491,23120.0,24808.0,2.46,2.427,0.039940747214728844,770,0.1355272928767306,10
621594,20,far,4151.25,12094,9846,2248,139,2.3718157181571815,0.5415236374585968,0.0334838903944595,24272.0,21968.0,2.472,2.916,0.017749317380378216,1500,0.09027199460558677,139
621594,21,floor,87.0,198,188,10,4,2.160919540229885,0.11494252873563218,0.04597701149425287,21040.0,20360.0,1.275,1.455,0.05860601413721156,188,0.15895876862933278,4
621594,21,ring,666.75,1986,1758,228,19,2.6366704161979753,0.34195725534308213,0.028496437945256844,22800.0,19376.0,0.726,0.732,0.03355932252802063,1500,0.16136712271872966,19
621594,21,far,6916.0,19478,18004,1474,51,2.603238866396761,0.21312897628687102,0.007374204742625796,24032.0,19872.0,0.96,1.476,0.015981049392138402,1500,0.13087679410608644,51
621594,22,floor,20.5,56,43,13,8,2.097560975609756,0.6341463414634146,0.3902439024390244,10080.0,11744.0,5.712,5.691,0.07590453295654243,43,0.1884285646621322,8
621594,22,ring,285.75,778,724,54,1,2.5336832895888013,0.1889763779527559,0.003499562554680665,22624.0,9216.0,5.658,5.604,0.04874302338623693,724,0.1288178491849976,1
621594,22,far,4088.0,12572,11283,1289,5,2.7600293542074366,0.31531311154598823,0.001223091976516634,23840.0,22944.0,5.634,6.006,0.013639664096274373,1500,0.12496603489307745,5
621594,23,floor,19.75,35,24,11,0,1.2151898734177216,0.5569620253164557,0.0,24936.0,,12.543,,0.11053153254246695,24,,0
621594,23,ring,286.0,333,303,30,8,1.0594405594405594,0.1048951048951049,0.027972027972027972,21328.0,17864.0,12.594,12.573,0.05803019743495952,302,0.1834001222777033,8
621594,23,far,4089.75,12760,4394,8366,143,1.0743933003239807,2.0456018094015525,0.034965462436579255,22144.0,21392.0,12.594,12.612,0.025586575624004126,1490,0.06925549729450609,142
621594,24,floor,24.5,46,35,11,8,1.4285714285714286,0.4489795918367347,0.32653061224489793,16704.0,15376.0,12.528,12.531,0.15886614631801876,35,0.2211856320678578,8
