tile,cluster,zone,area_m2,n_pts,n_ground,n_class1,n_reclaim,ground_per_m2,class1_per_m2,reclaim_per_m2,med_inten_ground,med_inten_reclaim,med_absang_ground,med_absang_reclaim,planar_ground,planar_ground_n,planar_reclaim,planar_reclaim_n
621594,30,far,4228.75,33594,27784,5810,17,6.570263080106415,1.3739284658587052,0.004020100502512563,22480.0,16960.0,6.888,6.444,0.020065765411601433,1500,0.32772847249299275,17
621594,31,floor,17.75,283,197,86,2,11.098591549295774,4.845070422535211,0.11267605633802817,26448.0,25152.0,13.188,13.08,0.1900071467183011,197,0.2558154694858956,2
621594,31,ring,281.0,4430,3234,1196,0,11.508896797153024,4.2562277580071175,0.0,25904.0,,13.356,,0.039117245667426914,1500,,0
621594,31,far,4074.5,44468,25591,18877,0,6.280770646705117,4.632961099521414,0.0,21456.0,,13.134,,0.019734806342512456,1500,,0
621594,32,floor,22.75,56,37,19,3,1.6263736263736264,0.8351648351648352,0.13186813186813187,28592.0,29664.0,6.306,6.246,0.16714870586849884,37,0.23445733251890033,3
621594,32,ring,300.5,951,695,256,5,2.312811980033278,0.8519134775374376,0.016638935108153077,25024.0,14944.0,6.2700000000000005,6.234,0.031025769356062938,695,0.19881179843355312,5
621594,32,far,4137.25,12640,9811,2829,39,2.3713819566136927,0.6837875400326304,0.009426551453260016,22752.0,20176.0,6.282,6.222,0.021074662119275445,1500,0.10579183666163772,39
621594,33,floor,33.25,78,63,15,5,1.894736842105263,0.45112781954887216,0.15037593984962405,21040.0,19968.0,9.456,9.444,0.11020576946765459,63,0.19693950230060864,5
621594,33,ring,313.0,891,741,150,0,2.36741214057508,0.4792332268370607,0.0,25216.0,,9.474,,0.02038869192455195,741,,0
621594,33,far,4179.5,10837,9964,873,9,2.3840172269410216,0.20887665988754636,0.0021533676277066633,25088.0,27264.0,9.462,8.448,0.016643224678347224,1500,0.07139540264199695,9
621594,34,floor,24.0,108,84,24,0,3.5,1.0,0.0,18672.0,,6.462,,0.05410957692276952,84,,0
621594,34,ring,301.25,1302,968,334,12,3.2132780082987553,1.1087136929460581,0.03983402489626556,18912.0,18048.0,6.48,6.384,0.05295827294406763,968,0.22931327056605255,12
