block,permit,name,status,spud_year,permit_year,oldest_for,on_chm,off_chm,deficit,x,y
e1423n2235,083-42999,MELVIN 032,DEP Abandoned List,1800.0,1984.0,,18.9274959564209,7.91165828704834,-11.015837669372559,698716.9226096782,4647844.821420428
e1423n2235,083-10656,WILTSIE LEASE 60,DEP Orphan List,1800.0,1995.0,,17.239450454711914,14.844693183898926,-2.3947572708129883,700067.0615950469,4647161.091173073
e1423n2235,083-10658,WILTSIE LEASE 19,DEP Orphan List,1800.0,1995.0,,20.4021053314209,19.1319522857666,-1.2701530456542969,700250.3437755601,4647151.0340142995
e1423n2235,083-10684,LAWTON 14,DEP Orphan List,1800.0,1995.0,,19.279722213745117,21.041399002075195,1.7616767883300781,700040.8006854936,4648634.337515643
e1423n2235,083-10680,LAWTON 106,DEP Orphan List,1800.0,1995.0,,19.58369255065918,18.444974899291992,-1.1387176513671875,700033.7116576296,4648344.429696621
e1423n2235,083-11694,BROOKS 48,DEP Orphan List,1800.0,1995.0,,26.67715835571289,23.904253005981445,-2.7729053497314453,697919.7142100822,4649032.252930888
e1423n2235,083-11702,BROOKS 24,DEP Orphan List,1800.0,1995.0,,,24.604219436645508,,697730.2213728422,4648996.410365248
e1423n2235,083-11862,MIDDLEBROUGH 14,DEP Orphan List,1800.0,1995.0,,,,,700701.0296583115,4647224.7692010235
e1423n2235,083-42998,MELVIN 031,DEP Abandoned List,1800.0,1984.0,,1.1175527572631836,7.856422424316406,6.738869667053223,698629.1728979202,4647844.587900101
e1423n2235,083-10707,WILSON 11,DEP Orphan List,1800.0,1995.0,,22.114429473876953,21.553136825561523,-0.5612926483154297,699882.4238431947,4648294.494044015
e1423n2235,083-12007,WHITEHEAD 010,DEP Orphan List,1800.0,1995.0,,18.47289276123047,19.96215057373047,1.4892578125,700308.9164029224,4648329.521966324
