component_id,area_m2,bbox_h_px,bbox_w_px,aspect_ratio_bbox,eccentricity,elongation_pca,solidity_bbox,road_prob_max,road_prob_mean,pit_prob_max,centroid_x,centroid_y,overlaps_labeled_pit,classification
434,95.5,19,27,1.4210526315789473,0.7645078417371567,1.5513149529425159,0.7446393762183235,0.387661337852478,0.13230007886886597,0.6583251953125,623784.5811518325,4595426.209424084,False,COMPACT_OTHER_FP
435,164.75,41,25,1.64,0.8176408381278297,1.7369294164277538,0.6429268292682927,0.2463928461074829,0.12096695601940155,0.6485137939453125,622480.5682852807,4595417.801972686,False,COMPACT_OTHER_FP
436,212.25,35,31,1.1290322580645162,0.5428732114907283,1.1907389074592833,0.7824884792626728,0.3568028211593628,0.12304065376520157,0.8235626220703125,622201.0111896349,4595417.421672556,True,TRUE_PIT_LABELED
437,187.75,32,31,1.032258064516129,0.22394408630980972,1.026059875129094,0.7570564516129032,0.45750024914741516,0.14525899291038513,0.7283935546875,622076.9187749667,4595407.372170439,True,TRUE_PIT_LABELED
438,248.75,40,31,1.2903225806451613,0.6357907625004988,1.295569292928129,0.8024193548387096,0.42246901988983154,0.17405211925506592,0.8782958984375,621864.691959799,4595388.585427135,True,TRUE_PIT_LABELED
439,295.5,57,30,1.9,0.8976055341675369,2.268604496296815,0.6912280701754386,0.6034096479415894,0.2215568870306015,0.71295166015625,622732.0021150592,4595384.055414552,False,ROAD_LIKE_COMPACT
440,223.0,32,35,1.09375,0.448164591549281,1.11862946864813,0.7964285714285714,0.5268232822418213,0.20461474359035492,0.84637451171875,622602.7656950672,4595384.912556054,False,ROAD_LIKE_COMPACT
441,181.75,33,29,1.1379310344827587,0.5039426758805693,1.1577596921424875,0.7596656217345873,0.36615172028541565,0.21475651860237122,0.7617416381835938,621732.182255846,4595372.778541953,True,TRUE_PIT_LABELED
442,285.0,39,37,1.054054054054054,0.5815732631740853,1.229265318576935,0.7900207900207901,0.4688544273376465,0.2123875617980957,0.871185302734375,621588.9557017544,4595360.875877193,True,TRUE_PIT_LABELED
443,352.25,44,46,1.0454545454545454,0.7482527647982234,1.5073549564250286,0.6961462450592886,0.5196493268013,0.19209998846054077,0.896087646484375,623723.1685592618,4595358.311568488,False,ROAD_LIKE_COMPACT
444,62.5,25,16,1.5625,0.813732661445639,1.7204616977700309,0.625,0.43542131781578064,0.2064574956893921,0.6181449890136719,623229.214,4595359.276,False,COMPACT_OTHER_FP
447,198.75,31,32,1.032258064516129,0.341212767736521,1.0638455312448756,0.8014112903225806,0.42637383937835693,0.17482303082942963,0.7685546875,620572.8603773585,4595348.53018868,False,COMPACT_OTHER_FP
448,128.25,23,27,1.173913043478261,0.5338003075028839,1.1825774636033892,0.8260869565217391,0.47575756907463074,0.1744978129863739,0.704376220703125,621964.9873294347,4595351.235867446,True,TRUE_PIT_LABELED
449,287.0,37,41,1.1081081081081081,0.48573325420623387,1.1440245832638947,0.7567567567567568,0.49810791015625,0.247635155916214,0.89697265625,621483.1572299652,4595333.650696864,True,TRUE_PIT_LABELED
450,286.75,36,40,1.1111111111111112,0.397798122944632,1.0899503648544042,0.7965277777777777,0.3028821349143982,0.16172897815704346,0.8853912353515625,623841.8840453357,4595332.848735833,False,COMPACT_OTHER_FP
451,159.25,30,26,1.1538461538461537,0.5721469486756215,1.2192874807636762,0.8166666666666667,0.5449221134185791,0.21808023750782013,0.72515869140625,620943.7496075353,4595328.799843014,False,ROAD_LIKE_COMPACT
452,260.25,39,36,1.0833333333333333,0.33507833513165414,1.0613567443205323,0.7414529914529915,0.5734992623329163,0.20463426411151886,0.91363525390625,621217.9073006724,4595324.801152738,True,TRUE_PIT_LABELED
453,287.5,42,36,1.1666666666666667,0.539210330103544,1.1874071182763317,0.7605820105820106,0.3726193606853485,0.17984943091869354,0.8736572265625,620444.377826087,4595321.598260869,False,COMPACT_OTHER_FP
454,304.0,41,37,1.1081081081081081,0.49688454744227517,1.1523171333016586,0.8015820698747528,0.5165345072746277,0.20149356126785278,0.920135498046875,621101.7306743421,4595319.297697368,True,TRUE_PIT_LABELED
455,145.75,30,23,1.3043478260869565,0.618119698492393,1.2721286955711448,0.8449275362318841,0.4367421269416809,0.20787423849105835,0.6865234375,620307.0343053173,4595308.100343053,False,COMPACT_OTHER_FP
456,237.75,33,37,1.121212121212121,0.5531408567651394,1.2003537499757078,0.7788697788697788,0.45922917127609253,0.189115509390831,0.8395233154296875,620185.1614090431,4595305.536803365,False,COMPACT_OTHER_FP
457,239.5,35,38,1.0857142857142856,0.550154833377513,1.1975149152831444,0.7203007518796992,0.6301160454750061,0.3919406235218048,0.794097900390625,623509.9102296451,4595303.78131524,False,ROAD_LIKE_COMPACT
458,76.75,24,20,1.2,0.6932045028333566,1.3874610562429015,0.6395833333333333,0.5309661626815796,0.36658695340156555,0.588592529296875,620058.815960912,4595307.068403909,False,ROAD_LIKE_COMPACT
459,131.0,27,23,1.173913043478261,0.536179551860393,1.1846882047526914,0.8438003220611916,0.32901430130004883,0.11967609077692032,0.6519775390625,619782.4351145038,4595300.008587786,False,COMPACT_OTHER_FP
460,219.0,34,35,1.0294117647058822,0.40090235526091633,1.0915591165582081,0.7361344537815127,0.2701089084148407,0.13794603943824768,0.839111328125,622337.7009132421,4595297.064497717,True,TRUE_PIT_LABELED
461,89.25,20,21,1.05,0.3070096539834801,1.0507442207921174,0.85,0.46924662590026855,0.29982054233551025,0.5990142822265625,622545.3207282913,4595297.029411765,False,ROAD_LIKE_COMPACT
462,126.75,24,33,1.375,0.7554334505750626,1.5261924016500925,0.6401515151515151,0.3401015102863312,0.1438526064157486,0.78515625,619649.8126232742,4595295.903353057,False,COMPACT_OTHER_FP
463,193.25,31,30,1.0333333333333334,0.4095133814729643,1.0961257197844256,0.8311827956989247,0.3901853561401367,0.17337365448474884,0.823577880859375,620836.7962483829,4595288.9385511,False,COMPACT_OTHER_FP
