area,tile,flown,points,ground_pct,ground_stops,data_stops,gap,barred_pct,pts_beyond,error
Venango,17TPG613608,2020-03-18,10006865.0,57.92173672773641,17.75,19.25,1.5,7.792207792207792,1283631.0,
Venango,17TPG615600,2020-03-18,10427297.0,62.12396175154501,17.75,19.75,2.0,10.126582278481013,1585629.0,
Venango,17TPG615602,2020-03-18,9442539.0,64.72612927518753,17.75,19.75,2.0,10.126582278481013,1541414.0,
Venango,17TPG615603,2020-03-18,9871884.0,64.61522440903885,17.75,19.75,2.0,10.126582278481013,1631855.0,
Venango,17TPG615605,2020-03-18,9664009.0,66.53234697939541,17.75,19.75,2.0,10.126582278481013,1575002.0,
Venango,17TPG615606,2020-03-18,10570184.0,57.56898839225505,17.75,19.75,2.0,10.126582278481013,1632706.0,
Venango,17TPG615608,2020-03-18,10844599.0,55.754675668505584,17.75,19.75,2.0,10.126582278481013,1605621.0,
Venango,17TPG616600,2020-03-18,10132637.0,59.74189147405556,17.75,19.75,2.0,10.126582278481013,1821748.0,
Venango,17TPG616602,2020-03-18,10158593.0,56.349279865823945,17.75,19.75,2.0,10.126582278481013,1908293.0,
Venango,17TPG616603,2020-03-18,9892222.0,61.15690691130871,17.75,19.75,2.0,10.126582278481013,1771617.0,
Venango,17TPG616605,2020-03-18,9645301.0,60.59284204816417,17.75,19.75,2.0,10.126582278481013,1757048.0,
Venango,17TPG616606,2020-03-18,10270813.0,61.773990043436676,17.75,19.75,2.0,10.126582278481013,1859569.0,
Venango,17TPG616608,2020-03-18,10771410.0,53.08998543366189,17.75,19.75,2.0,10.126582278481013,1649405.0,
Venango,17TPG618600,2020-03-18,9562965.0,63.8640107958149,17.75,20.25,2.5,12.345679012345679,1658184.0,
Venango,17TPG618602,2020-03-18,10026986.0,63.30342936551422,17.75,19.75,2.0,10.126582278481013,1781264.0,
Venango,17TPG618603,2020-03-18,9824862.0,62.47151359479655,17.75,20.25,2.5,12.345679012345679,1784805.0,
Venango,17TPG618605,2020-03-18,10096257.0,57.03789037858288,17.75,20.25,2.5,12.345679012345679,1833173.0,
Venango,17TPG618606,2020-03-18,10740357.0,57.31370940463152,17.75,19.75,2.0,10.126582278481013,1876509.0,
Venango,17TPG618608,2020-03-18,11664222.0,48.29940650992411,17.75,19.75,2.0,10.126582278481013,1621806.0,
Venango,17TPG619600,2020-03-18,10002685.0,59.85102999844541,17.75,19.75,2.0,10.126582278481013,1607569.0,
Venango,17TPG619600,2020-03-18,10002685.0,59.85102999844541,17.75,19.75,2.0,10.126582278481013,1607569.0,
Venango,17TPG619602,2020-03-18,9412727.0,65.60295438293281,17.75,19.75,2.0,10.126582278481013,1511721.0,
Venango,17TPG619603,2020-03-18,9586969.0,63.07041359996053,17.75,19.75,2.0,10.126582278481013,1632658.0,
Venango,17TPG619605,2020-03-18,9443776.0,63.714662440108704,17.75,19.75,2.0,10.126582278481013,1588145.0,
