area,tile,angle,at_ground_returns,pct_called_ground
"PA Northcentral 2019 B19  (McKean, QL1)",e1429n2235,15.5,31072,97.8211894953656
"PA Northcentral 2019 B19  (McKean, QL1)",e1429n2235,16.5,62410,98.00833199807724
"PA Northcentral 2019 B19  (McKean, QL1)",e1429n2235,18.5,31064,97.88823074942054
"PA Northcentral 2019 B19  (McKean, QL1)",e1429n2235,19.5,59006,95.21574077212487
"PA Northcentral 2019 B19  (McKean, QL1)",e1429n2235,21.5,22857,84.63927899549371
"PA Northcentral 2019 B19  (McKean, QL1)",e1429n2235,22.5,38414,80.6945384495236
"PA Northcentral 2019 B19  (McKean, QL1)",e1429n2235,24.5,15679,80.89163849735314
"PA Northcentral 2019 B19  (McKean, QL1)",e1429n2235,25.5,52132,80.02954039745262
"PA Northcentral 2019 B19  (McKean, QL1)",e1429n2235,27.5,34118,98.37915469839967
"PA Northcentral 2019 B19  (McKean, QL1)",e1429n2235,28.5,57194,98.48760359478267
