area,block,tile,angle,at_ground_returns,pct_called_ground
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622594,10.5,103651,95.3883705897676
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622594,11.5,102524,95.74636182747454
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622594,12.5,102760,95.3016738030362
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622594,13.5,107181,94.79478638937871
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622594,14.5,109045,89.31266908157183
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622594,15.5,113083,85.4036415730039
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622594,16.5,123939,85.7542823485747
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622594,17.5,149569,85.01761728700467
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622594,18.5,254198,0.0
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF622594,19.5,61321,0.0
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2011-09,008_002886,0.5,903492,99.81294798404411
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604591,0.5,112456,99.84349434445473
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604591,1.5,89148,99.73751514335711
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604591,2.5,61092,99.76428992339422
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604591,3.5,57176,99.77787883027844
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604591,4.5,59062,99.73925705191157
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604591,5.5,58859,99.19978253113374
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604591,6.5,58286,99.03064200665683
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604591,7.5,120832,99.16826668432203
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604591,8.5,58801,99.1785853982075
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604591,9.5,108910,99.44541364429344
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604591,10.5,123433,99.56818678959436
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604591,12.5,55377,99.29573649710169
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604591,13.5,110315,99.3509495535512
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604591,15.5,54809,99.246474119214
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604591,16.5,201209,99.15461038025138
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604591,18.5,110617,98.59696068416248
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604591,19.5,218395,98.7719499072781
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604591,21.5,111284,98.98368139175444
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604591,22.5,214629,99.13105871061228
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604591,24.5,101076,88.48292374055167
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604591,25.5,207388,73.11657376511658
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604591,27.5,109100,72.33730522456462
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604591,28.5,177855,68.72508504118522
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2011-09,008_002887,0.5,844880,99.74233027175455
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604593,0.5,88547,99.88254825121122
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604593,1.5,50558,99.8378100399541
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604593,2.5,51780,99.80494399382
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604593,3.5,53212,99.79703826204616
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604593,4.5,54371,99.55123135495026
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604593,5.5,54166,99.63999556917624
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604593,6.5,54500,99.80183486238532
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604593,7.5,157581,99.5468996896834
"PA WesternPA 2019 D20  (Venango, QL2)",Venango 2020-03,17TPF604593,8.5,54092,99.69496413517712
