epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
66,5461.95,0.76175,1.43306,0.59267,1.02937,0,0.68341,0.54323,0.58187,0.34931,0.77803,0.49669,0.58896,0.31746,1.57157,2.84356,1.35591,1.63984,0,0.000713,0.000713,0.000713
67,5548.91,0.75732,1.41484,0.58134,1.02927,0,0.71012,0.53974,0.57648,0.34704,0.73374,0.53974,0.57722,0.3086,1.61231,2.93589,1.35332,1.69086,0,0.0006932,0.0006932,0.0006932
68,5636.48,0.75849,1.41978,0.57854,1.02457,0,0.7031,0.5894,0.61449,0.36639,0.77263,0.5401,0.61003,0.33741,1.53057,2.85185,1.24391,1.65276,0,0.0006734,0.0006734,0.0006734
69,5724.61,0.74163,1.41054,0.56708,1.02132,0,0.74391,0.53642,0.60034,0.35423,0.76687,0.55298,0.60042,0.33158,1.57498,2.80503,1.36796,1.64258,0,0.0006536,0.0006536,0.0006536
70,5808.67,0.73791,1.3821,0.55514,1.02091,0,0.74368,0.5092,0.57293,0.34025,0.82988,0.48344,0.57839,0.31905,1.63979,2.93047,1.44974,1.70461,0,0.0006338,0.0006338,0.0006338
71,5898.78,0.73038,1.38662,0.5543,1.01724,0,0.77298,0.52318,0.58142,0.36245,0.77669,0.51827,0.5768,0.32505,1.54176,2.79307,1.43289,1.62687,0,0.000614,0.000614,0.000614
72,5983.3,0.73258,1.38406,0.56089,1.01456,0,0.83051,0.50331,0.6164,0.36736,0.83597,0.50662,0.6156,0.33878,1.50574,2.87045,1.28184,1.61217,0,0.0005942,0.0005942,0.0005942
73,6069.37,0.72068,1.36466,0.54207,1.00975,0,0.79873,0.5519,0.60482,0.36803,0.77351,0.55413,0.60152,0.3387,1.52954,2.89774,1.34513,1.61624,0,0.0005744,0.0005744,0.0005744
74,6151.08,0.72082,1.35687,0.55034,1.01346,0,0.79838,0.55629,0.60821,0.3665,0.80096,0.5596,0.61321,0.34343,1.54981,2.88951,1.2759,1.64146,0,0.0005546,0.0005546,0.0005546
75,6233.74,0.72296,1.38135,0.54521,1.01125,0,0.75724,0.57616,0.61523,0.37277,0.75642,0.54501,0.59678,0.33822,1.49029,2.84467,1.33364,1.59859,0,0.0005348,0.0005348,0.0005348
76,6318.06,0.69791,1.33354,0.53139,0.99773,0,0.77845,0.5352,0.59342,0.36564,0.74388,0.55629,0.58929,0.33153,1.48789,2.77218,1.41723,1.62311,0,0.000515,0.000515,0.000515
77,6402.94,0.71378,1.34283,0.53767,1.01,0,0.80336,0.51406,0.59916,0.36356,0.82169,0.51656,0.60404,0.34185,1.51678,2.73922,1.24627,1.65771,0,0.0004952,0.0004952,0.0004952
78,6486.88,0.69605,1.30909,0.52462,0.99728,0,0.78766,0.5,0.56897,0.35107,0.79117,0.49669,0.57479,0.32687,1.52014,2.76894,1.3627,1.61234,0,0.0004754,0.0004754,0.0004754
79,6570.72,0.68381,1.28915,0.51876,0.99749,0,0.76733,0.5298,0.58079,0.36228,0.78766,0.54636,0.59549,0.3405,1.49181,2.77063,1.37299,1.60325,0,0.0004556,0.0004556,0.0004556
