wp_id,bbox_score,geometry
85,0.5541373491287231,"POLYGON ((-105.2422136220434 39.83960323170314, -105.2422142938146 39.83961377302407, -105.2422142938146 39.83995525238561, -105.2422136220456 39.83996579366401, -105.2421999478417 39.83996631155917, -105.241593725918 39.83996631155917, -105.2415800517141 39.83996579366401, -105.2415793799448 39.83995525238551, -105.2415793799448 39.83961377302424, -105.2415800517163 39.83960323170316, -105.2415937259071 39.83960271387664, -105.2421999478527 39.83960271387661, -105.2422136220434 39.83960323170314))"
89,0.641126275062561,"POLYGON ((-105.2393224172286 39.89979280418251, -105.2393230895853 39.89980334538067, -105.2393230895853 39.90016529697802, -105.2393224172266 39.90017583816254, -105.2393087310405 39.90017635602798, -105.2391427338031 39.90017635602799, -105.239129047617 39.90017583816255, -105.2391283752581 39.90016529697803, -105.2391283752582 39.89980334538049, -105.2391290476151 39.89979280418252, -105.2391427337428 39.8997922863369, -105.2393087311009 39.89979228633691, -105.2393224172286 39.89979280418251))"
91,0.6996587514877319,"POLYGON ((-105.23956279505 40.05435030369664, -105.2395634689228 40.05436084461066, -105.2395634689228 40.05445569475878, -105.23956279505 40.05446623566429, -105.2395490780473 40.05446675351209, -105.2394523794285 40.05446675351207, -105.2394386624259 40.0544662356643, -105.239437988553 40.05445569475884, -105.239437988553 40.05436084461063, -105.2394386624259 40.05435030369663, -105.2394523794167 40.05434978586104, -105.239549078059 40.05434978586105, -105.23956279505 40.05435030369664))"
92,0.5066854953765869,"POLYGON ((-105.24015990642 40.05411771520774, -105.2401605802905 40.05412825612192, -105.2401605802905 40.05421532367901, -105.2401599064201 40.05422586458468, -105.2401461894661 40.05422638243245, -105.2400495772364 40.05422638243245, -105.2400358602824 40.05422586458467, -105.2400351864119 40.05421532367905, -105.2400351864119 40.05412825612183, -105.2400358602824 40.05411771520775, -105.2400495772264 40.05411719737213, -105.2401461894761 40.05411719737214, -105.24015990642 40.05411771520774))"
93,0.4862481951713562,"POLYGON ((-105.239776480081 40.05401889659193, -105.2397771539506 40.05402943750683, -105.2397771539506 40.0541097834306, -105.2397764800813 40.05412032433615, -105.2397627631488 40.05412084218469, -105.2396528491566 40.05412084218471, -105.2396391322242 40.05412032433615, -105.2396384583548 40.05410978343057, -105.2396384583548 40.05402943750682, -105.2396391322244 40.05401889659193, -105.2396528491493 40.05401837875705, -105.2397627631562 40.05401837875706, -105.239776480081 40.05401889659193))"
95,0.5153045058250427,"POLYGON ((-105.2414981131416 40.23257385321454, -105.2414987887801 40.23258439382194, -105.2414987887801 40.23296857551799, -105.241498113144 40.23297911607759, -105.2414843602202 40.23297963394188, -105.2408056928211 40.23297963394188, -105.2407919398971 40.23297911607757, -105.2407912642607 40.23296857551783, -105.2407912642606 40.23258439382209, -105.2407919398995 40.23257385321453, -105.2408056928082 40.2325733354275, -105.2414843602331 40.23257333542752, -105.2414981131416 40.23257385321454))"
96,0.5373470783233643,"POLYGON ((-105.2431446474953 40.70243844732182, -105.2431453278606 40.70244898708456, -105.2431453278606 40.70304930115881, -105.2431446474995 40.70305984084368, -105.2431307983733 40.70306035869065, -105.2420178105307 40.70306035869064, -105.242003961404 40.70305984084368, -105.2420032810424 40.70304930115849, -105.2420032810424 40.70244898708486, -105.2420039614083 40.70243844732181, -105.2420178105156 40.70243792960191, -105.2431307983882 40.70243792960192, -105.2431446474953 40.70243844732182))"
99,0.4902667999267578,"POLYGON ((-105.2386990553568 39.88820186674196, -105.2386997276069 39.88821240801489, -105.238699727607 39.88997333684448, -105.2386990553557 39.88998387799503, -105.238685371271 39.88998439595071, -105.2369111005478 39.88998439595072, -105.236897416463 39.88998387799506, -105.2368967442104 39.88997333684441, -105.2368967442104 39.88821240801498, -105.2368974164618 39.88820186674194, -105.2369111003605 39.88820134898457, -105.2386853714584 39.88820134898456, -105.2386990553568 39.88820186674196))"
101,0.6243966817855835,"POLYGON ((-105.2384606794714 39.90490071139102, -105.2384613518829 39.90491125261667, -105.2384613518829 39.90560903562237, -105.2384606794761 39.90561957676108, -105.2384469922577 39.90562009468718, -105.237180472121 39.90562009468717, -105.2371667849022 39.90561957676106, -105.2371661124948 39.90560903562199, -105.2371661124948 39.90491125261693, -105.2371667849068 39.90490071139102, -105.2371804721033 39.90490019360695, -105.2384469922754 39.90490019360694, -105.2384606794714 39.90490071139102))"
102,0.599225640296936,"POLYGON ((-105.2403595370052 40.56429421389645, -105.2403602159669 40.56430475389048, -105.2403602159669 40.56456141764757, -105.2403595370067 40.56457195760968, -105.2403457164315 40.56457247543111, -105.2399052095059 40.56457247543111, -105.2398913889304 40.56457195760967, -105.23989070997 40.56456141764752, -105.23989070997 40.56430475389051, -105.2398913889319 40.56429421389645, -105.2399052094948 40.56429369612603, -105.2403457164423 40.56429369612604, -105.2403595370052 40.56429421389645))"
105,0.8010569214820862,"POLYGON ((-105.2363039351457 39.88572230629948, -105.2363046073837 39.88573284766388, -105.2363046073837 39.88681349273055, -105.2363039351746 39.8868240338017, -105.2362902518385 39.88682455190228, -105.2319116808352 39.88682455190228, -105.2318979974969 39.88682403380162, -105.231897325287 39.88681349272895, -105.231897325287 39.88573284766552, -105.2318979975259 39.88572230629956, -105.2319116810561 39.8857217886864, -105.2362902516178 39.88572178868641, -105.2363039351457 39.88572230629948))"
106,0.7861769795417786,"POLYGON ((-105.2367709775963 39.89902520183212, -105.2367716499462 39.89903574303851, -105.2367716499462 39.89961353854424, -105.2367709775937 39.89962407972526, -105.236757291524 39.89962459760039, -105.2364186526059 39.89962459760037, -105.2364049665363 39.89962407972526, -105.2364042941834 39.89961353854432, -105.2364042941834 39.89903574303841, -105.2364049665338 39.8990252018321, -105.2364186525183 39.89902468399595, -105.2367572916117 39.89902468399598, -105.2367709775963 39.89902520183212))"
