OBJECTID,Well_ident,State,County,Well_name,Well_numbe,Type,Status,Latitude,Longitude,Prime_meri,Township,T_dir,Range,R_dir,Section,Qtr,Qtr_qtr,Qtr_qtr_qt,Source,Data_file_date,Well_info,Location_n,Other_note,x,y
101267,API:37121321110000,Pennsylvania,Venango,EICHE DEAN 165Q,,,Orphan,41.496642000000001,-79.547518999999994,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.547518999901897,41.496641999728602
101268,API:37121321130000,Pennsylvania,Venango,EICHE DEAN 167Q,,,Orphan,41.493819999999999,-79.545940999999999,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.545940999977105,41.493819999993001
101269,API:37121321150000,Pennsylvania,Venango,EICHE DEAN 169Q,,,Orphan,41.495795000000001,-79.546152000000006,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.546151999814896,41.495795000239099
101270,API:37121321160000,Pennsylvania,Venango,EICHE DEAN 170Q,,,Orphan,41.497039999999998,-79.544523999999996,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.544524000282394,41.497040000096000
101271,API:37121321170000,Pennsylvania,Venango,EICHE DEAN 171Q,,,Orphan,41.497900999999999,-79.546385000000001,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.546384999767895,41.497901000231003
101272,API:37121321180000,Pennsylvania,Venango,EICHE DEAN 172Q.,,,Orphan,41.499155999999999,-79.544495999999995,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.544495999890401,41.499155999649702
101273,API:37121321190000,Pennsylvania,Venango,EICHE DEAN 173Q,,,Orphan,41.500295000000001,-79.546199000000001,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.546199000183705,41.500295000014297
101274,API:37121321200000,Pennsylvania,Venango,EICHE DEAN 174Q,,,Orphan,41.501631000000003,-79.544452000000007,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.544451999659998,41.501630999570999
101275,API:37121321210000,Pennsylvania,Venango,EICHE DEAN 175Q,,,Orphan,41.502909000000002,-79.546323999999998,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.546323999652799,41.502909000050401
101276,API:37121321220000,Pennsylvania,Venango,EICHE DEAN 176Q,,,Orphan,41.502783999999998,-79.543119000000004,,0,,0,,0,,,,Pennsylvania Department of Environmental Protection,5/9/2022,,Municipality: President Twp,,-79.543119000241603,41.502783999681903
