epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
79,8706.27,0.45556,0.86537,0.29488,0.82014,0,0.9081,0.90491,0.93504,0.4676,0.85658,0.85403,0.85536,0.35035,1.65343,4.63762,0.70536,1.44906,0,0.000379743,0.000379743,0.000379743
80,8818.45,0.45384,0.8676,0.29518,0.82056,0,0.9213,0.8909,0.91925,0.46395,0.87225,0.84281,0.83984,0.34257,1.64798,4.70035,0.74631,1.43002,0,0.000363239,0.000363239,0.000363239
81,8929.08,0.45086,0.86028,0.29699,0.821,0,0.94933,0.89225,0.93728,0.4593,0.89537,0.84133,0.84683,0.34287,1.63761,4.66282,0.71527,1.43825,0,0.000346736,0.000346736,0.000346736
82,9038.68,0.44425,0.85431,0.29074,0.82046,0,0.94457,0.89854,0.94417,0.47382,0.89084,0.84756,0.86703,0.3521,1.64375,4.67531,0.72446,1.43236,0,0.000330233,0.000330233,0.000330233
83,9153.37,0.44976,0.85559,0.29927,0.82037,0,0.92987,0.88688,0.93424,0.46996,0.86647,0.82659,0.85296,0.35132,1.64795,4.74979,0.75412,1.43219,0,0.000313729,0.000313729,0.000313729
84,9263.57,0.43481,0.83613,0.28835,0.81995,0,0.93287,0.88138,0.93859,0.4662,0.86411,0.8222,0.84879,0.34884,1.66065,4.76665,0.75457,1.45218,0,0.000297226,0.000297226,0.000297226
85,9378.84,0.44471,0.85597,0.2933,0.81803,0,0.93053,0.8733,0.92718,0.46922,0.84285,0.8347,0.83483,0.34828,1.66309,4.76831,0.7382,1.4577,0,0.000280723,0.000280723,0.000280723
86,9490.23,0.43452,0.83961,0.28931,0.81728,0,0.93458,0.86368,0.90278,0.46384,0.87912,0.8127,0.832,0.34277,1.66666,4.68014,0.79014,1.45879,0,0.00026422,0.00026422,0.00026422
87,9603.9,0.43128,0.84453,0.28557,0.82026,0,0.92878,0.86919,0.90765,0.45768,0.87134,0.81582,0.82432,0.34589,1.6541,4.69881,0.78837,1.45419,0,0.000247716,0.000247716,0.000247716
88,9716.09,0.42348,0.82638,0.28257,0.8145,0,0.92927,0.89159,0.92901,0.46821,0.86586,0.8321,0.84109,0.35653,1.65461,4.80455,0.75141,1.44082,0,0.000231213,0.000231213,0.000231213
89,9826.86,0.41279,0.81697,0.27645,0.81846,0,0.93461,0.88592,0.92155,0.46737,0.88389,0.83819,0.85288,0.36075,1.65498,4.77293,0.75551,1.45498,0,0.00021471,0.00021471,0.00021471
90,9939.77,0.41513,0.82162,0.27687,0.81793,0,0.93604,0.88904,0.9264,0.47017,0.86875,0.8252,0.84053,0.36322,1.64625,4.84357,0.74442,1.44835,0,0.000198206,0.000198206,0.000198206
