length_m,class,faint_score,margin_sigma,n_transects,P_road,split,opos_zcontrast,lrm25_zcontrast,tpi15_zcontrast,slope_zcontrast,relief10_zcontrast,oneg_zcontrast,incision_depth_m
179.24857866712807,faint,0.326,-2.061,17,0.8411555290222168,val,0.32579958,0.94651544,0.3340583,-0.2718769,-0.43638024,-0.35247922,0.4295916
159.8745087160721,bold,-1.801,0.066,15,0.8817898631095886,val,-1.8012099,-0.04697804,0.6620443,-0.22511896,0.021001147,-0.66164464,0.49166894
216.3476391045346,bold,-3.634,1.899,21,0.9160493016242981,val,-3.6339657,-2.8396876,-2.7565043,0.807969,1.417728,0.23375429,1.3243206
58.68402326526726,faint,0.569,-2.304,5,0.9337795376777649,train,0.568638,-0.1094656,0.3357673,-0.9873173,-0.7019458,0.2707519,0.23218018
165.37301801568614,faint,0.235,-1.97,16,0.858256995677948,train,0.23475108,-0.3007152,0.31922454,-0.65493035,-1.5676982,-0.4802719,0.4542098
31.212933650958846,bold,-2.92,1.185,3,0.895195484161377,train,-2.9200373,0.15823065,0.44594708,0.5698302,0.48213714,-1.6198119,0.38948467
678.5358672349475,faint,-0.847,-0.889,67,0.9899207353591919,train,-0.84672344,0.30866528,0.25143883,-0.8977226,1.5699459,-1.066094,0.5999148
365.77275260051016,bold,-2.711,0.976,36,0.8409627079963684,train,-2.7114768,-1.8499367,-2.0359511,-0.6784682,-0.2934026,-0.9973804,0.92099845
81.01341454469907,bold,-4.236,2.501,8,0.869307279586792,train,-4.2363014,-3.1161327,-1.9801555,-0.24359222,0.034260325,-1.2949047,1.1482284
44.382441376744566,faint,-0.981,-0.755,4,0.8315750360488892,train,-0.9805063,-1.6879516,-1.5425873,0.12212373,-0.29116422,0.68649983,0.5357795
65.76366739472246,faint,-1.39,-0.346,6,0.8535056114196777,train,-1.3895171,-1.1665349,-0.6888156,-0.17582247,0.17171809,-0.7169899,0.4086579
325.378373915247,faint,-1.38,-0.355,32,0.9617174863815308,train,-1.3803666,-1.5009254,-1.749597,-0.82300705,0.33514458,-0.5064131,0.5963356
149.93105638924249,faint,-1.494,-0.242,14,0.9919837713241577,train,-1.4935651,-1.6201034,-2.0490012,-1.5173628,2.3823442,-1.1493757,1.0261439
149.4905134990108,bold,-2.956,1.221,14,0.9740283489227295,train,-2.955965,-2.0494008,-1.0287917,-1.2592981,-0.92114556,-1.2959915,0.76694405
248.5604573995459,faint,-1.444,-0.291,24,0.8830344080924988,train,-1.4442899,-1.8204241,-1.4841428,-0.17672288,-0.008048953,0.6646494,0.5968234
