parent_road,length_m,class,faint_score,margin_sigma,n_transects,exlabel,P_road,split,opos_zcontrast,lrm25_zcontrast,tpi15_zcontrast,slope_zcontrast,relief10_zcontrast,oneg_zcontrast,incision_depth_m
32,45.87414692,bold,-4.179,2.594,9,unlabelled,0.817501128,val,-4.17949,-2.794711,-1.5447719,-1.904016,-0.22221191,-2.1902857,0.7491854
32,45.89532515,bold,-4.233,2.648,9,unlabelled,0.604656458,val,-4.232735,-2.582111,-1.6044871,-2.0802262,-0.8608604,-1.5236976,0.7902354
32,45.5852479,bold,-1.893,0.308,9,unlabelled,0.294483632,val,-1.8930992,0.015660081,-0.18166034,-0.21686558,0.8306461,-1.4923115,0.5222597
32,45.76160734,bold,-3.141,1.556,9,unlabelled,0.864831626,val,-3.141055,-1.7545313,-3.491714,1.8092119,1.6128421,-3.9908242,0.7871282
33,45.03546743,bold,-2.63,1.045,9,unlabelled,0.498196036,val,-2.6300786,-0.1044487,-0.00905573,-1.2886244,-0.8473243,-1.3316656,0.7425374
33,45.12975607,faint,-1.574,-0.011,9,unlabelled,0.823806942,val,-1.5737746,-1.2205858,-0.39426574,-1.3561432,-0.97672504,-0.72021216,0.616333
33,45.12637229,bold,-2.407,0.821,9,unlabelled,0.581655562,val,-2.4066482,-2.5311308,-1.7990395,-1.1746703,-0.99197775,-0.12839775,0.6722554
34,48.3029978,bold,-1.868,0.283,9,unlabelled,0.629303575,val,-1.8682196,-2.6955934,-2.4748914,0.14102922,-0.2577149,0.51491326,1.1080033
34,48.30133303,bold,-6.504,4.919,9,unlabelled,0.950281441,val,-6.504322,-4.953262,-3.2210655,1.2224052,1.9207543,-3.3559887,1.2278302
34,48.30084123,bold,-9.876,8.291,9,unlabelled,0.980811596,val,-9.87607,-4.753004,-2.6556468,1.0216914,0.40607473,-2.011655,1.1626065
34,48.29660182,bold,-1.622,0.036,9,unlabelled,0.983777821,val,-1.6215644,-1.4431257,-0.80993587,-0.8250671,-0.67287683,-0.49181956,0.87713563
