OBJECTID,Well_ident,State,County,Well_name,Well_numbe,Type,Status,Latitude,Longitude,Prime_meri,Township,T_dir,Range,R_dir,Section,Qtr,Qtr_qtr,Qtr_qtr_qt,Source,Data file date,Well_info,Location_n,Other_note,x,y
99780,API:37121225050000,Pennsylvania,Venango,BOB BAKER 10, , ,Orphan,41.565503,-79.528803, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5288030001583,41.5655029997637
99781,API:37121225120000,Pennsylvania,Venango,MORRISON HW1, , ,Orphan,41.484143,-79.592776, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: President Twp, ,-79.5927759996126,41.4841429997996
99782,API:37121225130000,Pennsylvania,Venango,MORRISON HW2, , ,Orphan,41.482221,-79.596061, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: President Twp, ,-79.5960610000151,41.482221000199
99783,API:37121225190000,Pennsylvania,Venango,J R CUMMINS 7C, , ,Orphan,41.548763,-79.51601, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: Allegheny Twp, ,-79.5160100001613,41.5487630003122
99784,API:37121225590000,Pennsylvania,Venango,WOIDECK 54Q, , ,Orphan,41.500836,-79.513641, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: President Twp, ,-79.5136409997323,41.5008359997816
99785,API:37121225600000,Pennsylvania,Venango,WOIDECK 55Q, , ,Orphan,41.500561,-79.516197, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: President Twp, ,-79.5161969997916,41.5005609996904
99786,API:37121225610000,Pennsylvania,Venango,WOIDECK 56Q, , ,Orphan,41.502071,-79.514737, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: President Twp, ,-79.5147369999126,41.5020710000766
99787,API:37121225620000,Pennsylvania,Venango,WOIDECK 57Q, , ,Orphan,41.503032,-79.512729, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: President Twp, ,-79.5127289999434,41.5030320003266
99788,API:37121225630000,Pennsylvania,Venango,WOIDECK 58Q, , ,Orphan,41.500835,-79.519482, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: President Twp, ,-79.5194820001941,41.5008349997355
99789,API:37121225650000,Pennsylvania,Venango,WOIDECK 60Q, , ,Orphan,41.503168,-79.516015, ,0, ,0, ,0, , , ,Pennsylvania Department of Environmental Protection,2022-05-09, ,Municipality: President Twp, ,-79.5160150003919,41.503168000303
