model,tau,rank,score,recall,precision,fp_per_km2
pit,0.3,84,0.644292277097702,0.15705765407554673,0.9404761904761905,0.30917874396135264
pit,0.3,85,0.6442454186822638,0.15904572564612326,0.9411764705882353,0.30917874396135264
pit,0.3,86,0.6439999000680062,0.1610337972166998,0.9418604651162791,0.30917874396135264
pit,0.3,87,0.6431473192348275,0.16302186878727634,0.9425287356321839,0.30917874396135264
pit,0.3,88,0.6408567677797943,0.16500994035785288,0.9431818181818182,0.30917874396135264
pit,0.3,89,0.6399164610121348,0.16699801192842942,0.9438202247191011,0.30917874396135264
pit,0.3,90,0.6397887337952852,0.16898608349900596,0.9444444444444444,0.30917874396135264
pit,0.3,91,0.6395798773892158,0.1709741550695825,0.945054945054945,0.30917874396135264
pit,0.3,92,0.6389481983123682,0.17296222664015903,0.9456521739130435,0.30917874396135264
pit,0.3,93,0.6382649465576633,0.17296222664015903,0.9354838709677419,0.3710144927536232
pit,0.3,94,0.6379941863528753,0.17296222664015903,0.925531914893617,0.43285024154589374
pit,0.3,95,0.637821596547177,0.1749502982107356,0.9263157894736842,0.43285024154589374
pit,0.3,96,0.6373697478304464,0.17693836978131214,0.9270833333333334,0.43285024154589374
pit,0.3,97,0.6370661817244346,0.17892644135188868,0.9278350515463918,0.43285024154589374
pit,0.3,98,0.6365801509883668,0.18091451292246521,0.9285714285714286,0.43285024154589374
pit,0.3,99,0.6362037843705823,0.18290258449304175,0.9292929292929293,0.43285024154589374
pit,0.3,100,0.6356617531825587,0.1848906560636183,0.93,0.43285024154589374
pit,0.3,101,0.63558240908726,0.18687872763419483,0.9306930693069307,0.43285024154589374
pit,0.3,102,0.6346671324968338,0.18886679920477137,0.9313725490196079,0.43285024154589374
pit,0.3,103,0.6336629411269878,0.1908548707753479,0.9320388349514563,0.43285024154589374
pit,0.3,104,0.6332402310168096,0.19284294234592445,0.9326923076923077,0.43285024154589374
pit,0.3,105,0.6330020501665825,0.19483101391650098,0.9333333333333333,0.43285024154589374
pit,0.3,106,0.6328032886457143,0.19681908548707752,0.9339622641509434,0.43285024154589374
pit,0.3,107,0.6327310927256853,0.1988071570576541,0.9345794392523364,0.43285024154589374
pit,0.3,108,0.6326453574557802,0.20079522862823063,0.9351851851851852,0.43285024154589374
pit,0.3,109,0.6325361217977932,0.20278330019880716,0.9357798165137615,0.43285024154589374
pit,0.3,110,0.632507348683343,0.2047713717693837,0.9363636363636364,0.43285024154589374
pit,0.3,111,0.6323864108817593,0.20675944333996024,0.9369369369369369,0.43285024154589374
pit,0.3,112,0.6323641019623454,0.20874751491053678,0.9375,0.43285024154589374
pit,0.3,113,0.6316710440534177,0.21073558648111332,0.9380530973451328,0.43285024154589374
pit,0.3,114,0.6314956286261159,0.21073558648111332,0.9298245614035088,0.49468599033816424
pit,0.3,115,0.6312970846694037,0.21272365805168986,0.9304347826086956,0.49468599033816424
pit,0.3,116,0.6310712463325925,0.21272365805168986,0.9224137931034483,0.5565217391304348
pit,0.3,117,0.6310230978424587,0.2147117296222664,0.9230769230769231,0.5565217391304348
pit,0.3,118,0.6308970100195833,0.21669980119284293,0.923728813559322,0.5565217391304348
pit,0.3,119,0.6302940233564768,0.21868787276341947,0.9243697478991597,0.5565217391304348
pit,0.3,120,0.6301859581824576,0.220675944333996,0.925,0.5565217391304348
pit,0.3,121,0.629997924559534,0.22266401590457258,0.9256198347107438,0.5565217391304348
pit,0.3,122,0.62978170304508,0.22465208747514911,0.9262295081967213,0.5565217391304348
pit,0.3,123,0.629567608761428,0.22664015904572565,0.926829268292683,0.5565217391304348
pit,0.3,124,0.6294484915477889,0.2286282306163022,0.9274193548387096,0.5565217391304348
pit,0.3,125,0.627912283280475,0.23061630218687873,0.928,0.5565217391304348
pit,0.3,126,0.6278991469492515,0.23260437375745527,0.9285714285714286,0.5565217391304348
pit,0.3,127,0.6278459736427595,0.23260437375745527,0.9212598425196851,0.6183574879227053
pit,0.3,128,0.6277174634091994,0.2345924453280318,0.921875,0.6183574879227053
pit,0.3,129,0.6276909808998239,0.23658051689860835,0.9224806201550387,0.6183574879227053
pit,0.3,130,0.6271001612467151,0.23856858846918488,0.9230769230769231,0.6183574879227053
pit,0.3,131,0.6269976209057333,0.24055666003976142,0.9236641221374046,0.6183574879227053
pit,0.3,132,0.626957514507328,0.24254473161033796,0.9242424242424242,0.6183574879227053
pit,0.3,133,0.6264229513131655,0.24453280318091453,0.924812030075188,0.6183574879227053
pit,0.3,134,0.6260398416055574,0.24652087475149106,0.9253731343283582,0.6183574879227053
pit,0.3,135,0.6259417998419106,0.24652087475149106,0.9185185185185185,0.6801932367149759
pit,0.3,136,0.6259048431098055,0.2485089463220676,0.9191176470588235,0.6801932367149759
pit,0.3,137,0.6258053588615337,0.2504970178926441,0.9197080291970803,0.6801932367149759
pit,0.3,138,0.6255966619728437,0.2524850894632207,0.9202898550724637,0.6801932367149759
pit,0.3,139,0.6255269291238015,0.2524850894632207,0.9136690647482014,0.7420289855072464
