model,tau,thr,recall,precision,fp_per_km2,n_pred,tp,n_gt
pad,0.5,0.075,0.0,0.0,10.418604651162791,189,0,650
pad,0.5,0.1,0.0015384615384615385,0.0018214936247723133,30.208440999138674,549,1,650
pad,0.5,0.125,0.013846153846153847,0.011138613861386138,44.04478897502153,808,9,650
pad,0.5,0.15,0.026153846153846153,0.018418201516793065,49.94315245478036,923,17,650
pad,0.5,0.175,0.05384615384615385,0.03691983122362869,50.32902670111972,948,35,650
pad,0.5,0.2,0.08153846153846153,0.055150884495317375,50.05340223944875,961,53,650
pad,0.5,0.225,0.11692307692307692,0.07810894141829394,49.44702842377261,973,76,650
pad,0.5,0.25,0.1723076923076923,0.11155378486055777,49.171403962101635,1004,112,650
pad,0.5,0.275,0.2230769230769231,0.14215686274509803,48.23428079242033,1020,145,650
pad,0.5,0.3,0.2692307692307692,0.1674641148325359,47.958656330749356,1045,175,650
pad,0.5,0.325,0.34307692307692306,0.20724907063197026,47.02153316106804,1076,223,650
pad,0.5,0.35,0.42153846153846153,0.2532347504621072,44.540913006029285,1082,274,650
pad,0.5,0.375,0.4938461538461538,0.29395604395604397,42.50129198966408,1092,321,650
pad,0.5,0.4,0.5707692307692308,0.3419354838709677,39.359173126614984,1085,371,650
pad,0.5,0.425,0.6246153846153846,0.37662337662337664,37.04392764857881,1078,406,650
pad,0.5,0.45,0.6753846153846154,0.412593984962406,34.45305770887166,1064,439,650
pad,0.5,0.475,0.7138461538461538,0.43609022556390975,33.07493540051679,1064,464,650
pad,0.5,0.5,0.7446153846153846,0.46227316141356256,31.035314384151594,1047,484,650
pad,0.5,0.525,0.7584615384615384,0.48333333333333334,29.050818260120586,1020,493,650
pad,0.5,0.55,0.7738461538461539,0.501996007984032,27.507321274763136,1002,503,650
pad,0.5,0.575,0.7738461538461539,0.5143149284253579,26.184323858742463,978,503,650
pad,0.5,0.6,0.7553846153846154,0.5179324894514767,25.19207579672696,948,491,650
pad,0.5,0.625,0.7061538461538461,0.5010917030567685,25.19207579672696,916,459,650
pad,0.5,0.65,0.6430769230769231,0.47231638418079097,25.743324720068905,885,418,650
pad,0.5,0.675,0.5476923076923077,0.42482100238663484,26.570198105081825,838,356,650
pad,0.5,0.7,0.43846153846153846,0.3810160427807487,25.522825150732128,748,285,650
pad,0.5,0.725,0.3169230769230769,0.302496328928047,26.184323858742463,681,206,650
pad,0.5,0.75,0.19384615384615383,0.2079207920792079,26.459948320413435,606,126,650
pad,0.5,0.775,0.09692307692307692,0.1320754716981132,22.82170542635659,477,63,650
pad,0.5,0.8,0.03538461538461538,0.06609195402298851,17.915590008613265,348,23,650
pad,0.5,0.825,0.009230769230769232,0.02654867256637168,12.127476313522825,226,6,650
pad,0.5,0.85,0.0015384615384615385,0.00909090909090909,6.008613264427218,110,1,650
pad,0.5,0.875,0.0,0.0,2.756244616709733,50,0,650
pad,0.5,0.9,0.0,0.0,0.8819982773471146,16,0,650
pad,0.5,0.925,0.0,0.0,0.05512489233419466,1,0,650
pad,0.5,0.95,0.0,,0.0,0,0,650
