model,fold,block_id,thr,tau,n_gt,tp_gt,n_pred,tp_pred,split
pad,0,12,0.25,0.3,6,1,12,1,heldout
pad,0,22,0.25,0.3,2,0,6,0,heldout
pad,0,24,0.25,0.3,5,2,5,2,heldout
pad,0,48,0.25,0.3,9,6,13,6,heldout
pad,0,73,0.25,0.3,10,1,2,1,heldout
pad,0,83,0.25,0.3,6,3,14,3,heldout
pad,0,84,0.25,0.3,7,4,12,4,heldout
pad,0,87,0.25,0.3,5,2,9,2,heldout
pad,0,89,0.25,0.3,5,3,11,3,heldout
pad,0,90,0.25,0.3,6,1,5,1,heldout
pad,0,94,0.25,0.3,3,0,14,0,heldout
pad,0,95,0.25,0.3,9,2,10,2,heldout
pad,0,105,0.25,0.3,8,5,12,5,heldout
pad,0,115,0.25,0.3,3,1,11,1,heldout
pad,0,118,0.25,0.3,6,3,6,3,heldout
pad,0,126,0.25,0.3,2,1,10,1,heldout
pad,0,127,0.25,0.3,3,0,5,0,heldout
pad,0,130,0.25,0.3,4,2,7,2,heldout
pad,0,131,0.25,0.3,4,1,10,1,heldout
pad,0,132,0.25,0.3,6,3,9,3,heldout
pad,0,135,0.25,0.3,6,2,10,2,heldout
pad,0,136,0.25,0.3,6,3,6,3,heldout
pad,0,138,0.25,0.3,8,4,10,4,heldout
pad,0,6,0.25,0.5,1,0,12,0,heldout
pad,0,12,0.25,0.5,6,1,12,1,heldout
pad,0,22,0.25,0.5,2,0,6,0,heldout
pad,0,24,0.25,0.5,5,2,5,2,heldout
pad,0,48,0.25,0.5,9,3,13,3,heldout
pad,0,73,0.25,0.5,10,0,2,0,heldout
pad,0,83,0.25,0.5,6,0,14,0,heldout
pad,0,84,0.25,0.5,7,2,12,2,heldout
pad,0,87,0.25,0.5,5,0,9,0,heldout
pad,0,89,0.25,0.5,5,1,11,1,heldout
pad,0,90,0.25,0.5,6,0,5,0,heldout
pad,0,94,0.25,0.5,3,0,14,0,heldout
pad,0,95,0.25,0.5,9,0,10,0,heldout
pad,0,105,0.25,0.5,8,3,12,3,heldout
pad,0,115,0.25,0.5,3,1,11,1,heldout
pad,0,118,0.25,0.5,6,1,6,1,heldout
pad,0,126,0.25,0.5,2,1,10,1,heldout
pad,0,127,0.25,0.5,3,0,5,0,heldout
pad,0,130,0.25,0.5,4,0,7,0,heldout
pad,0,131,0.25,0.5,4,1,10,1,heldout
pad,0,132,0.25,0.5,6,2,9,2,heldout
pad,0,135,0.25,0.5,6,2,10,2,heldout
pad,0,136,0.25,0.5,6,0,6,0,heldout
pad,0,138,0.25,0.5,8,2,10,2,heldout
pad,0,-1,0.275,0.3,96,59,205,59,val
pad,0,-1,0.275,0.5,96,29,205,29,val
pad,0,6,0.275,0.3,1,0,10,0,heldout
pad,0,12,0.275,0.3,6,3,11,3,heldout
pad,0,22,0.275,0.3,2,0,4,0,heldout
pad,0,24,0.275,0.3,5,2,5,2,heldout
pad,0,48,0.275,0.3,9,7,11,7,heldout
pad,0,73,0.275,0.3,10,1,5,1,heldout
pad,0,83,0.275,0.3,6,4,13,4,heldout
pad,0,84,0.275,0.3,7,5,10,5,heldout
pad,0,87,0.275,0.3,5,3,9,3,heldout
pad,0,89,0.275,0.3,5,3,8,3,heldout
pad,0,90,0.275,0.3,6,2,6,2,heldout
pad,0,94,0.275,0.3,3,0,9,0,heldout
pad,0,95,0.275,0.3,9,3,11,3,heldout
pad,0,105,0.275,0.3,8,5,13,5,heldout
pad,0,115,0.275,0.3,3,1,9,1,heldout
pad,0,118,0.275,0.3,6,3,5,3,heldout
pad,0,126,0.275,0.3,2,1,11,1,heldout
pad,0,127,0.275,0.3,3,2,6,2,heldout
pad,0,130,0.275,0.3,4,2,7,3,heldout
pad,0,131,0.275,0.3,4,2,12,1,heldout
pad,0,132,0.275,0.3,6,3,9,3,heldout
pad,0,135,0.275,0.3,6,3,11,3,heldout
pad,0,136,0.275,0.3,6,3,7,3,heldout
pad,0,138,0.275,0.3,8,6,10,6,heldout
pad,0,6,0.275,0.5,1,0,10,0,heldout
pad,0,12,0.275,0.5,6,2,11,2,heldout
pad,0,22,0.275,0.5,2,0,4,0,heldout
pad,0,24,0.275,0.5,5,2,5,2,heldout
pad,0,48,0.275,0.5,9,3,11,3,heldout
pad,0,73,0.275,0.5,10,0,5,0,heldout
pad,0,83,0.275,0.5,6,0,13,0,heldout
pad,0,84,0.275,0.5,7,2,10,2,heldout
pad,0,87,0.275,0.5,5,0,9,0,heldout
pad,0,89,0.275,0.5,5,1,8,1,heldout
pad,0,90,0.275,0.5,6,0,6,0,heldout
pad,0,94,0.275,0.5,3,0,9,0,heldout
pad,0,95,0.275,0.5,9,1,11,1,heldout
pad,0,105,0.275,0.5,8,3,13,3,heldout
pad,0,115,0.275,0.5,3,1,9,1,heldout
pad,0,118,0.275,0.5,6,1,5,1,heldout
pad,0,126,0.275,0.5,2,1,11,1,heldout
pad,0,127,0.275,0.5,3,2,6,2,heldout
pad,0,130,0.275,0.5,4,0,7,0,heldout
pad,0,131,0.275,0.5,4,1,12,1,heldout
pad,0,132,0.275,0.5,6,3,9,3,heldout
pad,0,135,0.275,0.5,6,2,11,2,heldout
pad,0,136,0.275,0.5,6,1,7,1,heldout
pad,0,138,0.275,0.5,8,2,10,2,heldout
pad,0,-1,0.3,0.3,96,63,191,63,val
pad,0,-1,0.3,0.5,96,33,191,33,val
pad,0,6,0.3,0.3,1,0,8,0,heldout
pad,0,12,0.3,0.3,6,3,10,3,heldout
pad,0,22,0.3,0.3,2,0,3,0,heldout
pad,0,24,0.3,0.3,5,2,6,2,heldout
pad,0,48,0.3,0.3,9,9,13,9,heldout
pad,0,73,0.3,0.3,10,4,8,4,heldout
pad,0,83,0.3,0.3,6,4,13,4,heldout
pad,0,84,0.3,0.3,7,5,12,5,heldout
pad,0,87,0.3,0.3,5,3,8,3,heldout
pad,0,89,0.3,0.3,5,3,7,3,heldout
