x,y,kind
699586.3529394096,4647014.739972554,road
699601.9577831134,4647000.836646296,road
699620.6347788902,4646992.069081075,road
699624.1006368004,4646972.446298531,road
699624.4540789282,4646951.34490933,road
699626.1941273203,4646930.278921693,road
699620.8042107401,4646911.811974054,road
699601.6350735207,4646906.919323118,road
699581.4956091412,4646912.704557539,road
699420.1085842366,4647061.12590759,road
699424.2839419405,4647035.441607187,road
699431.323616905,4647010.4491340555,road
699443.1405862754,4646987.407792738,road
699460.9927902705,4646968.419315531,road
699519.5768783584,4647076.618973162,road
699521.9607940982,4647045.592271476,road
699526.2117834355,4647014.731426617,road
699527.5436687695,4646983.61649976,road
699487.1047756376,4647084.512071715,road
699502.7053473748,4647064.765244866,road
699512.6481146686,4647041.681487477,road
699518.4281909792,4647017.206177555,road
699521.5385020965,4646992.1957251355,road
699626.4051727226,4646922.772652756,road
699636.0765356829,4646942.625200236,road
699647.2386093459,4646961.234883953,road
699665.4041544042,4646973.765841365,road
699675.1572083781,4646990.81415986,road
699675.897337105,4647012.882533684,road
699676.9067098335,4647034.9122980535,road
699679.4852888952,4647056.832426649,road
699681.3375860334,4647078.835574728,road
699684.5358863687,4647100.650194879,road
699677.249976329,4647120.930964804,road
699669.2432334145,4647141.511325809,road
699650.2943930222,4647150.300538821,road
699630.8744856579,4647160.249269089,road
699613.8289186845,4647174.161458849,road
699597.3798419284,4647188.8953335965,road
699479.2921344138,4647017.75743136,road
699476.7743982956,4647041.970953156,road
699474.7911980577,4647066.2274156995,road
699474.4183269981,4647090.567712045,road
699471.7821824538,4647114.672384388,road
699463.226488046,4647137.400810181,road
699442.2028146128,4647146.933355197,road
699419.8845844751,4647156.621245374,road
699487.1047756376,4647084.512071715,road
699469.2741509635,4647123.665746985,road
699673.5358753912,4646978.032069989,road
699707.6621746386,4646974.54979071,road
699740.9471001109,4646978.416157048,road
700029.6297570848,4646996.31068607,road
700007.859642703,4646996.074642657,road
699986.0895283212,4646995.838599244,road
699964.3731118006,4646994.404430403,road
699942.6691645297,4646992.692043313,road
699920.9652172587,4646990.979656222,road
699899.2800835816,4646989.052844801,road
699877.6095567303,4646986.959554884,road
699855.9390298789,4646984.866264967,road
699834.2661107364,4646982.797994744,road
699812.5915600816,4646980.746787637,road
699790.9087243114,4646978.786064255,road
699769.2219073961,4646976.87720024,road
699747.4826908591,4646978.060441993,road
699726.5247693537,4646982.646011531,road
699706.447223996,4646991.065380219,road
699706.447223996,4646991.065380219,road
699713.218913404,4647018.299665508,road
699742.1844584112,4647032.711132474,road
699766.5306367355,4647031.280066891,road
699675.191336591,4646933.775581932,road
699693.3999001931,4646923.925924951,road
699713.3937663677,4646925.40137251,road
699733.686546414,4646929.488955496,road
699753.941899035,4646933.765428492,road
699774.4651695903,4646936.475876064,road
699795.0640584517,4646938.248488557,road
699815.7577377086,4646938.830871505,road
699836.4514169655,4646939.413254453,road
699857.143177323,4646940.05413532,road
699877.830537082,4646940.829169053,road
699898.517896841,4646941.6042027855,road
699919.2097942614,4646941.8430516925,road
699939.9073080462,4646941.41825267,road
699960.6059251283,4646941.125470242,road
699981.3076477455,4646941.204285024,road
700001.9995395951,4646941.097310716,road
700022.5773450657,4646938.834247947,road
700038.6012887965,4646951.121150949,road
700029.4081553876,4646964.4736731965,road
700013.4019706744,4646977.573567487,road
699995.4941621997,4646987.959997418,road
699977.9795939095,4646998.927903494,road
699961.6720457936,4647011.680605385,road
699945.5171303194,4647024.62054084,road
699929.7396760285,4647038.023505705,road
699913.0416016593,4647050.0389318345,road
699894.4752098399,4647059.142309607,road
699874.452771855,4647064.402490995,road
699854.0090215069,4647067.328662271,road
699833.4366046852,4647069.5634027235,road
699813.1928775241,4647073.894573663,road
699793.17019853,4647078.9920893,road
699773.7296149756,4647086.107652676,road
699754.0062828743,4647092.368842291,road
699737.3228250141,4647104.038831912,road
699720.2976905092,4647115.694088859,road
699704.8066655742,4647129.134283391,road
699688.1939610282,4647139.949256003,road
699668.028839087,4647144.632779055,road
699764.230520467,4647040.020932237,road
699789.6288381977,4647038.083239435,road
699814.9609477015,4647040.601242892,road
699840.3574011066,4647041.101456731,road
699865.8212301189,4647040.820272029,road
699890.9712903795,4647044.372495552,road
699916.1051078845,4647048.492783245,road
700061.7268328181,4647052.800421754,road
700038.0140214685,4647050.832727621,road
700014.3275396877,4647048.604614906,road
699990.655925082,4647046.395327524,road
699966.9042068876,4647046.868403982,road
699943.1272276503,4647047.077840206,road
699919.3338842978,4647046.863237286,road
699775.9864524052,4647085.281597832,road
699797.2613598076,4647091.399241156,road
699818.5037911996,4647103.610633689,road
699841.657793195,4647112.702451176,road
699865.1649089038,4647120.3645658465,road
699887.1478599302,4647131.6862093145,road
699908.6861888606,4647143.50780699,road
699929.1558600139,4647156.721740381,road
699949.8296415152,4647169.945951747,road
699944.1311163688,4647116.816599674,road
699961.0796895932,4647141.7347432645,road
699772.8853652888,4647151.948186281,road
699802.65815621,4647157.983530838,road
699832.8224366347,4647158.805457159,road
699947.2594984046,4647103.770529184,road
