pit_bottom_elev_m,rim_mean_elev_m,rim_max_elev_m,depth_from_rim_mean_m,depth_from_rim_max_m,rim_radius_m,effective_radius_m,diameter_m,aspect_ratio,rim_symmetry_std_m,volume_approx_m3,lrm5_depth_m,lrm11_depth_m,slope_inner_deg,original_index,tile,notes,max_zscore,mean_zscore,mahalanobis,iso_anomaly_score,PC1_depth_volume,PC2_size_vs_slope,PC3_rim_asymmetry,z_depth_from_rim_mean_m,z_depth_from_rim_max_m,z_rim_radius_m,z_effective_radius_m,z_diameter_m,z_aspect_ratio,z_rim_symmetry_std_m,z_volume_approx_m3,z_lrm5_depth_m,z_lrm11_depth_m,z_slope_inner_deg,anomaly_reason,anomaly_reason_zscore,anomaly_rank
485.6357,487.2151,487.5939,1.5795,1.9583,7.5000,6.0000,15.0000,0.1053,0.3022,93.0383,-0.3192,-1.0227,15.4102,515,9t,,2.7770,1.3022,4.8624,0.5345,2.9157,3.2712,-0.6870,2.3877,0.4646,0.8392,0.7219,0.8392,1.5368,-0.8202,2.7770,-1.2094,-1.8572,0.8710,volume_approx_m3,2.7770,45
401.5056,402.2604,403.3561,0.7548,1.8505,7.5000,5.5210,15.0000,0.0503,1.8894,44.4627,0.0126,0.3849,33.3535,350,9t,,3.8010,1.1586,4.8435,0.5241,2.1810,-1.8782,4.1766,0.0869,0.3126,0.8392,-0.5809,0.8392,-0.3022,2.4652,0.5513,1.0306,1.9358,3.8010,slope_inner_deg,3.8010,46
438.3358,438.3271,439.1118,-0.0087,0.7760,7.5000,5.3852,15.0000,-0.0006,0.9787,-0.5105,0.3325,0.5616,18.1227,273,9t,,3.1896,1.5350,4.8265,0.5634,-1.1308,-5.0250,1.9413,-2.0433,-1.2029,0.8392,-0.9504,0.8392,-2.0048,0.5802,-1.5093,3.1896,2.4118,1.3139,lrm5_depth_m,3.1896,47
470.8297,471.4185,472.9914,0.5889,2.1617,7.5000,5.6569,15.0000,0.0393,2.0346,34.6871,0.1959,0.5786,31.8558,467,9t,,3.5564,1.3491,4.8252,0.5500,2.2393,-3.1525,4.1006,-0.3761,0.7516,0.8392,-0.2114,0.8392,-0.6722,2.7659,0.1034,2.2674,2.4576,3.5564,slope_inner_deg,3.5564,48
537.7068,537.7106,538.4487,0.0037,0.7419,7.5000,5.3852,15.0000,0.0002,1.1804,0.2193,0.3492,0.7522,23.2420,573,mk5,,3.3027,1.7016,4.7980,0.5889,-0.8800,-5.3078,2.8001,-2.0087,-1.2510,0.8392,-0.9504,0.8392,-1.9771,0.9978,-1.4759,3.3027,2.9255,2.1499,lrm5_depth_m,3.3027,49
467.6810,468.4473,469.5045,0.7663,1.8235,7.5000,5.3852,15.0000,0.0511,2.0009,45.1368,0.0944,0.5319,26.3591,223,9t,,2.6960,1.1955,4.7894,0.5236,2.0790,-2.3782,3.7159,0.1188,0.2746,0.8392,-0.9504,0.8392,-0.2766,2.6960,0.5822,1.5822,2.3320,2.6589,rim_symmetry_std_m,2.6960,50
568.1039,569.7298,571.2070,1.6259,3.1031,7.5000,6.3246,15.0000,0.1084,1.2282,95.7743,-0.1448,-0.3443,7.3131,825,mkf,,2.9023,1.2756,4.7180,0.5152,4.5611,1.6923,-0.8363,2.5173,2.0793,0.8392,1.6046,0.8392,1.6404,1.0966,2.9023,-0.0319,-0.0291,-0.4512,volume_approx_m3,2.9023,51
504.9447,506.8225,508.3753,1.8778,3.4306,7.5000,5.7439,15.0000,0.1252,1.5027,110.6138,-0.2104,-0.6283,15.6108,672,mk5,,3.5823,1.5534,4.7168,0.5704,5.2012,3.0998,1.0144,3.2202,2.5412,0.8392,0.0253,0.8392,2.2022,1.6649,3.5823,-0.4752,-0.7944,0.9037,volume_approx_m3,3.5823,52
476.6844,477.6102,477.8115,0.9258,1.1271,4.0000,5.6569,8.0000,0.1157,0.1335,15.5111,-0.5430,-0.8134,19.7604,503,9t,,2.7198,1.2847,4.6938,0.5448,-1.9543,3.8608,0.8934,0.5638,-0.7077,-1.6124,-0.2114,-1.6124,1.8854,-1.1693,-0.7752,-2.7198,-1.2932,1.5813,lrm5_depth_m,-2.7198,53
568.3683,569.7809,571.2751,1.4127,2.9069,7.5000,5.8310,15.0000,0.0942,1.4267,83.2125,0.0526,-0.1819,25.5698,608,mk5,,2.5300,1.3548,4.6794,0.5360,4.1013,0.5723,2.2500,1.9223,1.8025,0.8392,0.2621,0.8392,1.1649,1.5075,2.3268,1.3004,0.4084,2.5300,slope_inner_deg,2.5300,54
